id,title,channel,published_at,description,thumbnail,duration,view_count,like_count,tags,category,genre,mood,release_year
J7p4bzqLvCw,Blinding Lights,The Weeknd - Topic,2019-11-29T05:01:00Z,"Provided to YouTube by Universal Music Group Blinding Lights · The Weeknd Blinding Lights ℗ 2019 The Weeknd XO, Inc., ...",https://i.ytimg.com/vi/J7p4bzqLvCw/hqdefault.jpg,202,810633068,5747873,"['The Weeknd', 'ザウィークエンド', 'ザ・ウィークエンド', 'Blinding Lights', 'ブラインディングライツ', 'ブラインディング・ライツ']",10,unknown,other,2019.0
U0ZoqmyGJo8,Top hits 2024 playlist  ~ Trending music 2024 ~ Best songs 2024 updated weekly (Playlist Hits),Melody Chill Mix,2024-08-12T11:00:26Z,Top hits 2024 playlist ~ Trending music 2024 ~ Best songs 2024 updated weekly (Playlist Hits) Top hits 2024 playlist ~ Trending ...,https://i.ytimg.com/vi/U0ZoqmyGJo8/hqdefault.jpg,3797,61551777,264025,[],10,unknown,other,2024.0
fwg7FrPNmNA,Bruno Mars Playlist 2024 - Best Songs Collection Full Album - The Best Of Bruno Mars - Greatest Hits,Good Energy,2024-07-02T00:00:18Z,Bruno Mars Playlist 2024 - Best Songs Collection Full Album - The Best Of Bruno Mars - Greatest Hits TOP HITS 2024 PLAYLIST: ...,https://i.ytimg.com/vi/fwg7FrPNmNA/hqdefault.jpg,5565,26498375,104859,[],10,unknown,other,2024.0
hOyn0bCydZo,Summer songs to dance ~ Best songs that make you dance,A.C Vibes,2023-04-24T12:00:33Z,Summer songs to dance ~ Best songs that make you dance Donate for A.C Vibes: ▫ https://bit.ly/acvibes0210 ...,https://i.ytimg.com/vi/hOyn0bCydZo/hqdefault.jpg,3257,19465706,110403,"['A.C Vibes', 'music', 'pop music', 'pop songs', 'chill vibes', 'chill music', 'chill playlist', 'chill songs', 'summer songs to dance', 'best songs that make you dance', 'summer songs', 'happy songs', 'party music', 'good mood music', 'dancing', 'happy music', 'dance party', 'mood booster', 'songs make you dance', 'songs to dance', 'feel good', 'feeling good playlist', 'dance songs', 'party music mix', ""playlist of songs that'll make you dance"", 'good mood', 'feeling good', 'boost your mood', 'throwback songs']",10,pop,happy,
gdGUeX1i0n0,Best Of Arijit Singh 2024 | Arijit Singh Hits Songs | Arijit Singh Jukebox Songs | Indian Songs,ABT Lofi Music,2024-06-13T04:24:38Z,Best Of Arijit Singh 2024 | Arijit Singh Hits Songs | Arijit Singh Jukebox Songs | Indian Songs ▻ Better Sound Quality Experience ...,https://i.ytimg.com/vi/gdGUeX1i0n0/hqdefault.jpg,3374,19170019,157414,"['Best Of Arijit Singh 2024', 'Arijit Singh Hits Songs', 'Arijit Singh Jukebox Songs', 'Indian Songs', 'arijit singh', 'arijit singh live', 'arijit singh songs', 'arijit singh mashup', 'arijit singh new song', 'arijit singh ke gaane', 'arijit singh all song', 'arijit singh live song', 'arijit singh jukebox', 'arijit singh audio jukebox', 'jukebox hits', 'Best Of Arijit Singh 2024 | Arijit Singh Hits Songs | Arijit Singh Jukebox Songs | Indian Songs']",10,unknown,other,2024.0
29zyVX_iyHc,24 HIT songs from 2024 in 1 Minute,Logan Alexandra,2024-12-31T20:27:29Z,24 hit songs from 2024 sung in one minute!!! I really hope you enjoy this end of the year mashup. Happy new year! 1.,https://i.ytimg.com/vi/29zyVX_iyHc/hqdefault.jpg,61,17238775,670388,[],10,unknown,happy,2024.0
LElOSR7cJyM,Top 20 Bollywood Romance  | Audio Jukebox | Best Hindi Love Songs | Romantic Bollywood Hits,YRF Music,2025-02-13T10:30:08Z,"20 love anthems, endless feels! Tune in for ultimate heart-eyes and all the butterflies ▻ YRF New Releases: ...",https://i.ytimg.com/vi/LElOSR7cJyM/hqdefault.jpg,6097,14599959,77368,"['top bollywood songs', 'hindi songs', 'bollywood songs', 'best bollywood songs', 'best romantic songs', 'romantic songs', 'hindi romantic songs', 'romance songs', 'love songs', 'bollywood love songs', 'hindi love songs', 'valentine song', 'valentine special', 'bollywood valentine songs', 'tujhme rab dikhta hai', 'tujh mein rab dikhta hai', 'lagu india', 'dil diyan gallan song', 'dil diyan gallan', 'haan ke haan', 'haan ki haan song', 'bol na halke halke', 'bol halke halke', 'chand sifarish', 'fanaa song', 'hum tum song']",10,unknown,romantic,
TdeYkT7DEJQ,Ed Sheeran Playlist 2024 - Best Songs Collection Full Album - The Best Of Ed Sheeran - Greatest Hits,Good Energy,2024-07-18T11:00:23Z,Ed Sheeran Playlist 2024 - Best Songs Collection Full Album - The Best Of Ed Sheeran - Greatest Hits Ed Sheeran Playlist 2024 ...,https://i.ytimg.com/vi/TdeYkT7DEJQ/hqdefault.jpg,6466,10053386,48717,[],10,unknown,other,2024.0
JsOaazm1Os4,Govinda 90&#39;s Hits | Video Jukebox | Romantic Love Songs | 90&#39;s Love Songs | Best Of Govinda,Tips Official,2023-12-20T12:30:17Z,Relive the 90s era of Bollywood with the ultimate Govinda 90's Hits Video Jukebox! Stay updated with the latest videos from Tips ...,https://i.ytimg.com/vi/JsOaazm1Os4/hqdefault.jpg,6048,8733225,38847,"['90s hits hindi songs', 'romantic songs', 'govinda songs', 'govinda karishma songs', 'hindi love songs', 'sona kitna sona hai', '90s love songs', 'tum humpe marte ho', 'hero no 1 songs', 'romantic hindi songs', '90s romantic songs', 'tumsa koi pyaara', 'bollywood songs', 'u.p wala thumka', 'husn hai suhana', 'aa jaana aa jaana', 'meri mehbooba', 'main tujhko bhaga laya', 'dil pardesi ho gaya', 'old hindi songs', 'main paidal se jaa raha', 'govinda 90 hits', '90 songs hits video govinda', '90s hits']",10,unknown,romantic,
yszisrGQsmY,Bollywood Dance Hits (Video Jukebox) | Non - Stop Party Songs | Bollywood Dance Songs | T-Series,T-Series,2024-09-21T12:26:08Z,"Presenting the ""Bollywood Dance Hits (Video Jukebox)"". Celebrating life through music, one track at a time. Ready to hit play on ...",https://i.ytimg.com/vi/yszisrGQsmY/hqdefault.jpg,2878,8452400,40202,"['hindi songs 2024', 'hindi songs new', 'bollywood songs 2024', 'bollywood movies 2024', 'tseries', 'tseries songs', 'bollywood dance songs', 'bollywood party songs', 'non stop party songs', 'non stop bollywood songs', 'bollywood song dance', 'bollywood workout songs', 'bollywood party songs 2024', 'party songs bollywood', 'non stop bollywood song', 'bollywood party song', 'party songs hindi', 'party songs punjabi', 'bollywood songs party', 'bollywood dance hits', 'bollywood dance hit', 'bollywood non stop party song']",10,unknown,happy,2024.0
